,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who told someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who told someone to come?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who told someone to come?\nAnswer:                                                                  ')"
1,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who told someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who told someone to come?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who told someone to come?\nAnswer:                                                                  ')"
2,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who told someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer:                                                                  ')"
3,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who told someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer:                                                                  ')"
4,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who told someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: \n\nCasey: I did.\nAvery: Who?\nCasey: I did.\nAvery: Who?\nCasey: I did.\nAvery: Who?\nCasey: I did.\nAvery: Who?\nCasey: I did.\nAvery: Who')"
5,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who told someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: \n\nCasey: I did.\nAvery: Who?\nCasey: I did.\nAvery: Who?\nCasey: I did.\nAvery: Who?\nCasey: I did.\nAvery: Who?\nCasey: I did.\nAvery: Who')"
6,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who told someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: ', ""You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: \n\nAvery: I don't know.\nCasey: I don't know.\nAvery: I don't know.\nCasey: I don't know.\nAvery: I don't know.\nCasey: I don't know.\nAvery: I don't know.\n"")"
7,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who told someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: ', ""You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: \n\nAvery: I don't know.\nCasey: I don't know.\nAvery: I don't know.\nCasey: I don't know.\nAvery: I don't know.\nCasey: I don't know.\nAvery: I don't know.\n"")"
8,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who told someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:                                                                  ')"
9,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who told someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:                                                                  ')"
