,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,subject-control,Avery,Casey,True,threatened,to come,Avery,Casey,question: Who came? context: Avery threatened Casey to come. </s>,"('question: Who came? context: Avery threatened Casey to come. </s>', {'Avery': array(-1.8867564, dtype=float32), 'Casey': array(3.2933059, dtype=float32)})"
1,t5,subject-control,Avery,Casey,False,threatened,to come,Avery,Casey,question: Who came? context: Avery threatened Casey to come. </s>,"('question: Who came? context: Avery threatened Casey to come. </s>', {'Avery': array(-1.8867564, dtype=float32), 'Casey': array(3.2933059, dtype=float32)})"
2,t5,subject-control,Avery,Casey,True,threatened,to go,Avery,Casey,question: Who went? context: Avery threatened Casey to go. </s>,"('question: Who went? context: Avery threatened Casey to go. </s>', {'Avery': array(-1.8264298, dtype=float32), 'Casey': array(3.6477516, dtype=float32)})"
3,t5,subject-control,Avery,Casey,False,threatened,to go,Avery,Casey,question: Who went? context: Avery threatened Casey to go. </s>,"('question: Who went? context: Avery threatened Casey to go. </s>', {'Avery': array(-1.8264298, dtype=float32), 'Casey': array(3.6477516, dtype=float32)})"
4,t5,subject-control,Avery,Casey,True,threatened,to read,Avery,Casey,question: Who read? context: Avery threatened Casey to read. </s>,"('question: Who read? context: Avery threatened Casey to read. </s>', {'Avery': array(-1.2395138, dtype=float32), 'Casey': array(1.896633, dtype=float32)})"
5,t5,subject-control,Avery,Casey,False,threatened,to read,Avery,Casey,question: Who read? context: Avery threatened Casey to read. </s>,"('question: Who read? context: Avery threatened Casey to read. </s>', {'Avery': array(-1.2395138, dtype=float32), 'Casey': array(1.896633, dtype=float32)})"
6,t5,subject-control,Avery,Casey,True,threatened,to run,Avery,Casey,question: Who ran? context: Avery threatened Casey to run. </s>,"('question: Who ran? context: Avery threatened Casey to run. </s>', {'Avery': array(-1.6831523, dtype=float32), 'Casey': array(2.9546752, dtype=float32)})"
7,t5,subject-control,Avery,Casey,False,threatened,to run,Avery,Casey,question: Who ran? context: Avery threatened Casey to run. </s>,"('question: Who ran? context: Avery threatened Casey to run. </s>', {'Avery': array(-1.6831523, dtype=float32), 'Casey': array(2.9546752, dtype=float32)})"
8,t5,subject-control,Avery,Casey,True,threatened,to call,Avery,Casey,question: Who called? context: Avery threatened Casey to call. </s>,"('question: Who called? context: Avery threatened Casey to call. </s>', {'Avery': array(-1.6912634, dtype=float32), 'Casey': array(1.5297798, dtype=float32)})"
9,t5,subject-control,Avery,Casey,False,threatened,to call,Avery,Casey,question: Who called? context: Avery threatened Casey to call. </s>,"('question: Who called? context: Avery threatened Casey to call. </s>', {'Avery': array(-1.6912634, dtype=float32), 'Casey': array(1.5297798, dtype=float32)})"
10,t5,subject-control,Avery,Joseph,True,threatened,to come,Avery,Joseph,question: Who came? context: Avery threatened Joseph to come. </s>,"('question: Who came? context: Avery threatened Joseph to come. </s>', {'Avery': array(-0.84671205, dtype=float32), 'Joseph': array(3.0822558, dtype=float32)})"
11,t5,subject-control,Avery,Joseph,False,threatened,to come,Avery,Joseph,question: Who came? context: Avery threatened Joseph to come. </s>,"('question: Who came? context: Avery threatened Joseph to come. </s>', {'Avery': array(-0.84671205, dtype=float32), 'Joseph': array(3.0822558, dtype=float32)})"
12,t5,subject-control,Avery,Joseph,True,threatened,to go,Avery,Joseph,question: Who went? context: Avery threatened Joseph to go. </s>,"('question: Who went? context: Avery threatened Joseph to go. </s>', {'Avery': array(-0.74087346, dtype=float32), 'Joseph': array(2.825203, dtype=float32)})"
13,t5,subject-control,Avery,Joseph,False,threatened,to go,Avery,Joseph,question: Who went? context: Avery threatened Joseph to go. </s>,"('question: Who went? context: Avery threatened Joseph to go. </s>', {'Avery': array(-0.74087346, dtype=float32), 'Joseph': array(2.825203, dtype=float32)})"
14,t5,subject-control,Avery,Joseph,True,threatened,to read,Avery,Joseph,question: Who read? context: Avery threatened Joseph to read. </s>,"('question: Who read? context: Avery threatened Joseph to read. </s>', {'Avery': array(-0.20185944, dtype=float32), 'Joseph': array(0.34792662, dtype=float32)})"
15,t5,subject-control,Avery,Joseph,False,threatened,to read,Avery,Joseph,question: Who read? context: Avery threatened Joseph to read. </s>,"('question: Who read? context: Avery threatened Joseph to read. </s>', {'Avery': array(-0.20185944, dtype=float32), 'Joseph': array(0.34792662, dtype=float32)})"
16,t5,subject-control,Avery,Joseph,True,threatened,to run,Avery,Joseph,question: Who ran? context: Avery threatened Joseph to run. </s>,"('question: Who ran? context: Avery threatened Joseph to run. </s>', {'Avery': array(-0.57047313, dtype=float32), 'Joseph': array(1.2845798, dtype=float32)})"
17,t5,subject-control,Avery,Joseph,False,threatened,to run,Avery,Joseph,question: Who ran? context: Avery threatened Joseph to run. </s>,"('question: Who ran? context: Avery threatened Joseph to run. </s>', {'Avery': array(-0.57047313, dtype=float32), 'Joseph': array(1.2845798, dtype=float32)})"
18,t5,subject-control,Avery,Joseph,True,threatened,to call,Avery,Joseph,question: Who called? context: Avery threatened Joseph to call. </s>,"('question: Who called? context: Avery threatened Joseph to call. </s>', {'Avery': array(-0.57088137, dtype=float32), 'Joseph': array(0.7287051, dtype=float32)})"
19,t5,subject-control,Avery,Joseph,False,threatened,to call,Avery,Joseph,question: Who called? context: Avery threatened Joseph to call. </s>,"('question: Who called? context: Avery threatened Joseph to call. </s>', {'Avery': array(-0.57088137, dtype=float32), 'Joseph': array(0.7287051, dtype=float32)})"
20,t5,subject-control,Avery,Nicole,True,threatened,to come,Avery,Nicole,question: Who came? context: Avery threatened Nicole to come. </s>,"('question: Who came? context: Avery threatened Nicole to come. </s>', {'Avery': array(0.19184989, dtype=float32), 'Nicole': array(4.2974443, dtype=float32)})"
21,t5,subject-control,Avery,Nicole,False,threatened,to come,Avery,Nicole,question: Who came? context: Avery threatened Nicole to come. </s>,"('question: Who came? context: Avery threatened Nicole to come. </s>', {'Avery': array(0.19184989, dtype=float32), 'Nicole': array(4.2974443, dtype=float32)})"
22,t5,subject-control,Avery,Nicole,True,threatened,to go,Avery,Nicole,question: Who went? context: Avery threatened Nicole to go. </s>,"('question: Who went? context: Avery threatened Nicole to go. </s>', {'Avery': array(0.29442298, dtype=float32), 'Nicole': array(4.543912, dtype=float32)})"
23,t5,subject-control,Avery,Nicole,False,threatened,to go,Avery,Nicole,question: Who went? context: Avery threatened Nicole to go. </s>,"('question: Who went? context: Avery threatened Nicole to go. </s>', {'Avery': array(0.29442298, dtype=float32), 'Nicole': array(4.543912, dtype=float32)})"
24,t5,subject-control,Avery,Nicole,True,threatened,to read,Avery,Nicole,question: Who read? context: Avery threatened Nicole to read. </s>,"('question: Who read? context: Avery threatened Nicole to read. </s>', {'Avery': array(0.68925303, dtype=float32), 'Nicole': array(2.6246128, dtype=float32)})"
25,t5,subject-control,Avery,Nicole,False,threatened,to read,Avery,Nicole,question: Who read? context: Avery threatened Nicole to read. </s>,"('question: Who read? context: Avery threatened Nicole to read. </s>', {'Avery': array(0.68925303, dtype=float32), 'Nicole': array(2.6246128, dtype=float32)})"
26,t5,subject-control,Avery,Nicole,True,threatened,to run,Avery,Nicole,question: Who ran? context: Avery threatened Nicole to run. </s>,"('question: Who ran? context: Avery threatened Nicole to run. </s>', {'Avery': array(0.2771148, dtype=float32), 'Nicole': array(3.4629145, dtype=float32)})"
27,t5,subject-control,Avery,Nicole,False,threatened,to run,Avery,Nicole,question: Who ran? context: Avery threatened Nicole to run. </s>,"('question: Who ran? context: Avery threatened Nicole to run. </s>', {'Avery': array(0.2771148, dtype=float32), 'Nicole': array(3.4629145, dtype=float32)})"
