,model,exp_type,prompt,pred,true,response,Unnamed: 0
0,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""'' President Musharraf promised to help us and cooperate with us on curbing terrorist activity by the Taliban , '' says Karzai .""
Question: In the event ""curbing"", does the participant ""activity"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""'' President Musharraf promised to help us and cooperate with us on curbing terrorist activity by the Taliban, '' says Karzai.""
Question: In the event ""curbing"", does the participant ""activity"" act with volition?
Answer: 

A:

The verb ""to cooperate"" is intransitive, so the sentence is not grammatical.
The verb ""to cooperate""",0.0
1,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The mysterious RAPHAEL Holinshed was named for the mysterious Neoplatonic Italian painter RAPHAEL Sanzio who painted _ St. George Fighting the Dragon _ ( 1504 - 06 )""
Question: In the event ""named"", does the participant ""Holinshed"" act with volition?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""The mysterious RAPHAEL Holinshed was named for the mysterious Neoplatonic Italian painter RAPHAEL Sanzio who painted _ St. George Fighting the Dragon _ ( 1504 - 06 )""
Question: In the event ""named"", does the participant ""Holinshed"" act with volition?
Answer: __________

A:

The answer is no.
The word",1.0
2,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: """" Should the Arctic Ocean become ice - free in summer , it is likely that polar bears and some seal species would be driven toward extinction , "" the report concluded .""
Question: In the event ""driven"", does the participant ""bears"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: """" Should the Arctic Ocean become ice - free in summer, it is likely that polar bears and some seal species would be driven toward extinction, "" the report concluded.""
Question: In the event ""driven"", does the participant ""bears"" act with volition?
Answer: 

A:

The sentence is grammatically correct, but it is not a complete sentence.
The subject of the sentence",2.0
3,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""They were from all accounts marginalized and not listened to .""
Question: In the event ""marginalized"", does the participant ""They"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""They were from all accounts marginalized and not listened to.""
Question: In the event ""marginalized"", does the participant ""They"" act with volition?
Answer: 

A:

The answer is yes.
The word marginalized means ""to be made to feel or act as if one is not important or significant"".
The word marginalized means ""to be made to feel or act as",3.0
4,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""NASA has some PR hurdles to overcome in the future .""
Question: In the event ""has"", does the participant ""hurdles"" act with volition?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""NASA has some PR hurdles to overcome in the future.""
Question: In the event ""has"", does the participant ""hurdles"" act with volition?
Answer: 

A:

The answer is no.
The verb has is intransitive, and the subject is NASA.
The verb hurdles is transitive, and the subject is the object of the verb.
The subject",4.0
5,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""And they deliver !""
Question: In the event ""deliver"", does the participant ""they"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""And they deliver!""
Question: In the event ""deliver"", does the participant ""they"" act with volition?
Answer: 

A:

The answer is yes.
The verb ""deliver"" is intransitive, so it does not require a subject.
The subject of the sentence is ""they"", which is a pronoun.
The pronoun ""they"" can be",5.0
6,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Denial of the status of marriage to those who would freely accept its responsibilities creates legal and economic inequities and social injustice .""
Question: In the event ""creates"", does the participant ""inequities"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Denial of the status of marriage to those who would freely accept its responsibilities creates legal and economic inequities and social injustice.""
Question: In the event ""creates"", does the participant ""inequities"" act with volition?
Answer: 

A:

The sentence is grammatically correct, but it is not a complete sentence. 
The subject of the sentence is ""Denial",6.0
7,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Either I suck at my own style or Janice is a genius .""
Question: In the event ""suck"", does the participant ""I"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Either I suck at my own style or Janice is a genius.""
Question: In the event ""suck"", does the participant ""I"" act with volition?
Answer: 

A:

The answer is yes.
The sentence is a conditional sentence.
The conditional sentence is a sentence that has a conditional clause.
The conditional clause is a clause that is conditional on the truth",7.0
8,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I thought the UK was completely devoid of good NYC style pizza .""
Question: In the event ""thought"", does the participant ""I"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I thought the UK was completely devoid of good NYC style pizza.""
Question: In the event ""thought"", does the participant ""I"" act with volition?
Answer: 

A:

The answer is yes.
The sentence is a statement of fact.
The speaker is the subject of the sentence.
The speaker is the one who thinks the UK is devoid of good NYC style pizza",8.0
9,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""But if -- there 's a painting on the wall in the Oval Office that shows a horseman charging up a steep cliff , and there are at least two other horsemen following .""
Question: In the event ""shows"", does the participant ""horseman"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""But if -- there's a painting on the wall in the Oval Office that shows a horseman charging up a steep cliff, and there are at least two other horsemen following.""
Question: In the event ""shows"", does the participant ""horseman"" act with volition?
Answer: 

A:

The answer is yes.
The verb ""shows"" is a transitive verb",9.0
10,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""There is a painting on my wall in the Oval -- first of all , I do n't know .""
Question: In the event ""is"", does the participant ""painting"" act with volition?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""There is a painting on my wall in the Oval -- first of all, I don't know.""
Question: In the event ""is"", does the participant ""painting"" act with volition?
Answer: 

A:

The answer is no.
The sentence is a question about the painting.
The painting is not a participant in the sentence.
The painting is not a",10.0
11,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""A NATO spokesman said : "" There 's no tracking mechanism to ensure they do n't fall into the wrong hands .""
Question: In the event ""fall"", does the participant ""they"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""A NATO spokesman said : "" There's no tracking mechanism to ensure they don't fall into the wrong hands.""
Question: In the event ""fall"", does the participant ""they"" act with volition?
Answer: 

A:

The sentence is ambiguous. 

""There's no tracking mechanism to ensure they don't fall into the wrong hands.""

The subject of",11.0
12,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""they all need love and attn , food , proper surroundings etc .""
Question: In the event ""need"", does the participant ""they"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""they all need love and attn, food, proper surroundings etc.""
Question: In the event ""need"", does the participant ""they"" act with volition?
Answer: 

A:

The answer is yes.
The sentence is a conditional sentence.
The subject of the sentence is ""they all"".
The verb is ""need"".
The predicate is ""love and attn",12.0
13,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: """" I hope that industry , if put to the test , can do better [ than the government ] , but I do not expect it , "" Griffin added .""
Question: In the event ""expect"", does the participant ""I"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: """" I hope that industry, if put to the test, can do better [ than the government ], but I do not expect it, "" Griffin added.""
Question: In the event ""expect"", does the participant ""I"" act with volition?
Answer: 

A:

The sentence is a conditional sentence.
The conditional is formed by the conjunction ""if"" and the main clause",13.0
14,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""My cat had a seizure yesterday and was ill .""
Question: In the event ""had"", does the participant ""cat"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""My cat had a seizure yesterday and was ill.""
Question: In the event ""had"", does the participant ""cat"" act with volition?
Answer: 

A:

The answer is yes.
The cat is the subject of the sentence, and the cat is the agent of the verb ""had"".
The cat is the agent of the verb ""had"" because the cat is the",14.0
15,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""1575 Leonardo beats Ruy Lopez in Madrid .""
Question: In the event ""beats"", does the participant ""Leonardo"" act with volition?
Answer: ",No,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""1575 Leonardo beats Ruy Lopez in Madrid.""
Question: In the event ""beats"", does the participant ""Leonardo"" act with volition?
Answer: 

A:

The answer is no.
The verb ""beat"" is intransitive, and therefore the subject of the sentence is the object of the verb.
The subject of the sentence is ""Leonardo"", and",15.0
16,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I think they may even be better than the pair I have been using this past year !""
Question: In the event ""think"", does the participant ""I"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I think they may even be better than the pair I have been using this past year!""
Question: In the event ""think"", does the participant ""I"" act with volition?
Answer: 

A:

I think they may even be better than the pair I have been using this past year!

This is a conditional sentence. 

I think they may even be",16.0
17,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one .""
Question: In the event ""have"", does the participant ""concern"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""have"", does the participant ""concern"" act with volition?
Answer: 

A:

The verb ""have"" is a perfect tense, and the verb ""concern"" is a present tense. 
The sentence is in the past tense",17.0
18,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I extend my hand to each of you in true friendship , and honor .""
Question: In the event ""extend"", does the participant ""hand"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""I extend my hand to each of you in true friendship, and honor.""
Question: In the event ""extend"", does the participant ""hand"" act with volition?
Answer: 

A:

The verb extend is intransitive, so the subject hand is not acting.
The verb extend is a transitive verb, so the subject hand is acting.
The verb extend is",18.0
19,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""But he suffers the severe effects of the aftermath , and we are all suffering along with him now , since he is the most powerful man in the world .""
Question: In the event ""suffers"", does the participant ""he"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""But he suffers the severe effects of the aftermath, and we are all suffering along with him now, since he is the most powerful man in the world.""
Question: In the event ""suffers"", does the participant ""he"" act with volition?
Answer: 

A:

The answer is yes.
The verb suffers is intransitive, and the subject is the person who is",19.0
20,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Two vaunted economists - one a Nobel Prize winner and the other a nationally renowned budget expert - have analyzed the data at hand and put a price tag on the Iraq occupation .""
Question: In the event ""have"", does the participant ""economists"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Two vaunted economists - one a Nobel Prize winner and the other a nationally renowned budget expert - have analyzed the data at hand and put a price tag on the Iraq occupation.""
Question: In the event ""have"", does the participant ""economists"" act with volition?
Answer: 

A:

The answer is yes.
The two economists are acting with volition.
The two",20.0
21,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I have two cats , and at first they hissed at each other because cats are very territorial , but now they do fight and play .""
Question: In the event ""have"", does the participant ""I"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I have two cats, and at first they hissed at each other because cats are very territorial, but now they do fight and play.""
Question: In the event ""have"", does the participant ""I"" act with volition?
Answer: 

A:

The answer is yes.
The sentence is a simple declarative sentence.
The subject is ""I"" and the predicate",21.0
22,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""You have two adjustment screws for up and down and right to left positions .""
Question: In the event ""have"", does the participant ""You"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""You have two adjustment screws for up and down and right to left positions.""
Question: In the event ""have"", does the participant ""You"" act with volition?
Answer: 

A:

The answer is yes.
The participant ""You"" is the subject of the sentence.
The verb ""have"" is a transitive verb.
The subject of a transitive verb is",22.0
23,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Cities such as Falluja received special treatment from Saddam and enjoyed a disproportionate share of the country 's wealth and power .""
Question: In the event ""received"", does the participant ""treatment"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Cities such as Falluja received special treatment from Saddam and enjoyed a disproportionate share of the country's wealth and power.""
Question: In the event ""received"", does the participant ""treatment"" act with volition?
Answer: 

A:

The answer is yes.
The verb ""receive"" is intransitive, and the subject of the sentence is ""cities"".",23.0
24,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""We had a large party , about fifty people or so , and yet everything was served quickly and we all had a wonderful time .""
Question: In the event ""had"", does the participant ""We"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""We had a large party, about fifty people or so, and yet everything was served quickly and we all had a wonderful time.""
Question: In the event ""had"", does the participant ""We"" act with volition?
Answer: 

A:

The answer is yes.
The sentence is a simple past tense sentence.
The past tense is used to describe an action that happened in",24.0
25,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I have a new born daughter and she helped me with a lot .""
Question: In the event ""have"", does the participant ""daughter"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""I have a new born daughter and she helped me with a lot.""
Question: In the event ""have"", does the participant ""daughter"" act with volition?
Answer: 

A:

The answer is yes.
The daughter is a person, and she is a person who has a will.
The daughter is a person who has a will.
The daughter has a will.",25.0
26,gpt_j,volition_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""They have a credit card minimum .""
Question: In the event ""have"", does the participant ""They"" act with volition?
Answer: ",No,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""They have a credit card minimum.""
Question: In the event ""have"", does the participant ""They"" act with volition?
Answer: 

A:

The answer is no.
The verb ""have"" is a copular verb, which means that it is used to express the subject of a sentence.
In this case, the subject is ""They"".
The verb ""have",26.0
