,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt3,subject-control,Avery,Casey,False,threatened,to come,Avery,other,"You will be given a context and a question.
Context: Avery threatened Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\nAnswer: ', '\n')"
1,gpt3,subject-control,Avery,Casey,False,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'A')"
2,gpt3,subject-control,Avery,Casey,False,threatened,to read,Avery,other,"You will be given a context and a question.
Context: Avery threatened Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to read.\n\nQuestion: Who read?\nAnswer: ', '\n')"
3,gpt3,subject-control,Avery,Casey,False,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'A')"
4,gpt3,subject-control,Avery,Casey,False,threatened,to call,Avery,other,"You will be given a context and a question.
Context: Avery threatened Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to call.\n\nQuestion: Who called?\nAnswer: ', '\n')"
5,gpt3,subject-control,Avery,Casey,False,offered,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Casey to come.\n\nQuestion: Who came?\nAnswer: ', 'Case')"
6,gpt3,subject-control,Avery,Casey,False,offered,to go,Avery,other,"You will be given a context and a question.
Context: Avery offered Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Casey to go.\n\nQuestion: Who went?\nAnswer: ', '\n')"
7,gpt3,subject-control,Avery,Casey,False,offered,to read,Avery,other,"You will be given a context and a question.
Context: Avery offered Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Casey to read.\n\nQuestion: Who read?\nAnswer: ', '\n')"
8,gpt3,subject-control,Avery,Casey,False,offered,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'A')"
9,gpt3,subject-control,Avery,Casey,False,offered,to call,Avery,other,"You will be given a context and a question.
Context: Avery offered Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Casey to call.\n\nQuestion: Who called?\nAnswer: ', '\n')"
10,gpt3,subject-control,Avery,Joseph,False,threatened,to come,Avery,Joseph,"You will be given a context and a question.
Context: Avery threatened Joseph to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to come.\n\nQuestion: Who came?\nAnswer: ', 'Joseph')"
11,gpt3,subject-control,Avery,Joseph,False,threatened,to go,Avery,Joseph,"You will be given a context and a question.
Context: Avery threatened Joseph to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to go.\n\nQuestion: Who went?\nAnswer: ', 'Joseph')"
12,gpt3,subject-control,Avery,Joseph,False,threatened,to read,Avery,other,"You will be given a context and a question.
Context: Avery threatened Joseph to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to read.\n\nQuestion: Who read?\nAnswer: ', '\n')"
13,gpt3,subject-control,Avery,Joseph,False,threatened,to run,Avery,Joseph,"You will be given a context and a question.
Context: Avery threatened Joseph to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to run.\n\nQuestion: Who ran?\nAnswer: ', 'Joseph')"
14,gpt3,subject-control,Avery,Joseph,False,threatened,to call,Avery,Joseph,"You will be given a context and a question.
Context: Avery threatened Joseph to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to call.\n\nQuestion: Who called?\nAnswer: ', 'Joseph')"
15,gpt3,subject-control,Avery,Joseph,False,offered,to come,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Joseph to come.\n\nQuestion: Who came?\nAnswer: ', 'Joseph')"
16,gpt3,subject-control,Avery,Joseph,False,offered,to go,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Joseph to go.\n\nQuestion: Who went?\nAnswer: ', 'Joseph')"
17,gpt3,subject-control,Avery,Joseph,False,offered,to read,Avery,other,"You will be given a context and a question.
Context: Avery offered Joseph to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Joseph to read.\n\nQuestion: Who read?\nAnswer: ', '\n')"
18,gpt3,subject-control,Avery,Joseph,False,offered,to run,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Joseph to run.\n\nQuestion: Who ran?\nAnswer: ', 'Joseph')"
19,gpt3,subject-control,Avery,Joseph,False,offered,to call,Avery,other,"You will be given a context and a question.
Context: Avery offered Joseph to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Joseph to call.\n\nQuestion: Who called?\nAnswer: ', '\n')"
20,gpt3,subject-control,Avery,Nicole,False,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Nicole to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to come.\n\nQuestion: Who came?\nAnswer: ', 'A')"
21,gpt3,subject-control,Avery,Nicole,False,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Nicole to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to go.\n\nQuestion: Who went?\nAnswer: ', 'A')"
22,gpt3,subject-control,Avery,Nicole,False,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Nicole to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to read.\n\nQuestion: Who read?\nAnswer: ', 'A')"
23,gpt3,subject-control,Avery,Nicole,False,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Nicole to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to run.\n\nQuestion: Who ran?\nAnswer: ', 'A')"
24,gpt3,subject-control,Avery,Nicole,False,threatened,to call,Avery,other,"You will be given a context and a question.
Context: Avery threatened Nicole to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to call.\n\nQuestion: Who called?\nAnswer: ', '\n')"
25,gpt3,subject-control,Avery,Nicole,False,offered,to come,Avery,other,"You will be given a context and a question.
Context: Avery offered Nicole to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Nicole to come.\n\nQuestion: Who came?\nAnswer: ', 'Nic')"
26,gpt3,subject-control,Avery,Nicole,False,offered,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Nicole to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Nicole to go.\n\nQuestion: Who went?\nAnswer: ', 'A')"
27,gpt3,subject-control,Avery,Nicole,False,offered,to read,Avery,other,"You will be given a context and a question.
Context: Avery offered Nicole to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Nicole to read.\n\nQuestion: Who read?\nAnswer: ', '\n')"
28,gpt3,subject-control,Avery,Nicole,False,offered,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Nicole to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Nicole to run.\n\nQuestion: Who ran?\nAnswer: ', 'A')"
29,gpt3,subject-control,Avery,Nicole,False,offered,to call,Avery,other,"You will be given a context and a question.
Context: Avery offered Nicole to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Nicole to call.\n\nQuestion: Who called?\nAnswer: ', '\n')"
30,gpt3,subject-control,Avery,Stephanie,False,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Stephanie to come.\n\nQuestion: Who came?\nAnswer: ', 'A')"
31,gpt3,subject-control,Avery,Stephanie,False,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Stephanie to go.\n\nQuestion: Who went?\nAnswer: ', 'A')"
32,gpt3,subject-control,Avery,Stephanie,False,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Stephanie to read.\n\nQuestion: Who read?\nAnswer: ', 'A')"
33,gpt3,subject-control,Avery,Stephanie,False,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Stephanie to run.\n\nQuestion: Who ran?\nAnswer: ', 'A')"
34,gpt3,subject-control,Avery,Stephanie,False,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Stephanie to call.\n\nQuestion: Who called?\nAnswer: ', 'A')"
35,gpt3,subject-control,Avery,Stephanie,False,offered,to come,Avery,Stephanie,"You will be given a context and a question.
Context: Avery offered Stephanie to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Stephanie to come.\n\nQuestion: Who came?\nAnswer: ', 'Step')"
36,gpt3,subject-control,Avery,Stephanie,False,offered,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Stephanie to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Stephanie to go.\n\nQuestion: Who went?\nAnswer: ', 'A')"
37,gpt3,subject-control,Avery,Stephanie,False,offered,to read,Avery,Stephanie,"You will be given a context and a question.
Context: Avery offered Stephanie to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Stephanie to read.\n\nQuestion: Who read?\nAnswer: ', 'Step')"
38,gpt3,subject-control,Avery,Stephanie,False,offered,to run,Avery,Stephanie,"You will be given a context and a question.
Context: Avery offered Stephanie to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Stephanie to run.\n\nQuestion: Who ran?\nAnswer: ', 'Step')"
39,gpt3,subject-control,Avery,Stephanie,False,offered,to call,Avery,Stephanie,"You will be given a context and a question.
Context: Avery offered Stephanie to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery offered Stephanie to call.\n\nQuestion: Who called?\nAnswer: ', 'Step')"
40,gpt3,subject-control,Avery,William,False,threatened,to come,Avery,William,"You will be given a context and a question.
Context: Avery threatened William to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened William to come.\n\nQuestion: Who came?\nAnswer: ', 'William')"
41,gpt3,subject-control,Avery,William,False,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened William to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened William to go.\n\nQuestion: Who went?\nAnswer: ', 'A')"
42,gpt3,subject-control,Avery,William,False,threatened,to read,Avery,other,"You will be given a context and a question.
Context: Avery threatened William to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened William to read.\n\nQuestion: Who read?\nAnswer: ', '\n')"
43,gpt3,subject-control,Avery,William,False,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened William to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened William to run.\n\nQuestion: Who ran?\nAnswer: ', 'A')"
44,gpt3,subject-control,Avery,William,False,threatened,to call,Avery,other,"You will be given a context and a question.
Context: Avery threatened William to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened William to call.\n\nQuestion: Who called?\nAnswer: ', '\n')"
45,gpt3,subject-control,Avery,William,False,offered,to come,Avery,other,"You will be given a context and a question.
Context: Avery offered William to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery offered William to come.\n\nQuestion: Who came?\nAnswer: ', '\n')"
46,gpt3,subject-control,Avery,William,False,offered,to go,Avery,other,"You will be given a context and a question.
Context: Avery offered William to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery offered William to go.\n\nQuestion: Who went?\nAnswer: ', '\n')"
47,gpt3,subject-control,Avery,William,False,offered,to read,Avery,other,"You will be given a context and a question.
Context: Avery offered William to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery offered William to read.\n\nQuestion: Who read?\nAnswer: ', '\n')"
