,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,t5,subject-control,Avery,Casey,True,offered,to come,Avery,Casey,question: Who came? context: Avery offered Casey to come. </s>,Casey,10.0
1,t5,subject-control,Avery,Casey,False,offered,to come,Avery,Casey,question: Who came? context: Avery offered Casey to come. </s>,Casey,11.0
2,t5,subject-control,Avery,Casey,True,offered,to go,Avery,Casey,question: Who went? context: Avery offered Casey to go. </s>,Casey,12.0
3,t5,subject-control,Avery,Casey,False,offered,to go,Avery,Casey,question: Who went? context: Avery offered Casey to go. </s>,Casey,13.0
4,t5,subject-control,Avery,Casey,True,offered,to read,Avery,Casey,question: Who read? context: Avery offered Casey to read. </s>,Casey,14.0
5,t5,subject-control,Avery,Casey,False,offered,to read,Avery,Casey,question: Who read? context: Avery offered Casey to read. </s>,Casey,15.0
6,t5,subject-control,Avery,Casey,True,offered,to run,Avery,Casey,question: Who ran? context: Avery offered Casey to run. </s>,Casey,16.0
7,t5,subject-control,Avery,Casey,False,offered,to run,Avery,Casey,question: Who ran? context: Avery offered Casey to run. </s>,Casey,17.0
8,t5,subject-control,Avery,Casey,True,offered,to call,Avery,Casey,question: Who called? context: Avery offered Casey to call. </s>,Casey,18.0
9,t5,subject-control,Avery,Casey,False,offered,to call,Avery,Casey,question: Who called? context: Avery offered Casey to call. </s>,Casey,19.0
10,t5,subject-control,Avery,Joseph,True,offered,to come,Avery,Joseph,question: Who came? context: Avery offered Joseph to come. </s>,Joseph,30.0
11,t5,subject-control,Avery,Joseph,False,offered,to come,Avery,Joseph,question: Who came? context: Avery offered Joseph to come. </s>,Joseph,31.0
12,t5,subject-control,Avery,Joseph,True,offered,to go,Avery,Joseph,question: Who went? context: Avery offered Joseph to go. </s>,Joseph,32.0
13,t5,subject-control,Avery,Joseph,False,offered,to go,Avery,Joseph,question: Who went? context: Avery offered Joseph to go. </s>,Joseph,33.0
14,t5,subject-control,Avery,Joseph,True,offered,to read,Avery,Joseph,question: Who read? context: Avery offered Joseph to read. </s>,Joseph,34.0
15,t5,subject-control,Avery,Joseph,False,offered,to read,Avery,Joseph,question: Who read? context: Avery offered Joseph to read. </s>,Joseph,35.0
16,t5,subject-control,Avery,Joseph,True,offered,to run,Avery,Joseph,question: Who ran? context: Avery offered Joseph to run. </s>,Joseph,36.0
17,t5,subject-control,Avery,Joseph,False,offered,to run,Avery,Joseph,question: Who ran? context: Avery offered Joseph to run. </s>,Joseph,37.0
18,t5,subject-control,Avery,Joseph,True,offered,to call,Avery,Joseph,question: Who called? context: Avery offered Joseph to call. </s>,Joseph,38.0
19,t5,subject-control,Avery,Joseph,False,offered,to call,Avery,Joseph,question: Who called? context: Avery offered Joseph to call. </s>,Joseph,39.0
20,t5,subject-control,Avery,Nicole,True,offered,to come,Avery,Nicole,question: Who came? context: Avery offered Nicole to come. </s>,Nicole,50.0
21,t5,subject-control,Avery,Nicole,False,offered,to come,Avery,Nicole,question: Who came? context: Avery offered Nicole to come. </s>,Nicole,51.0
22,t5,subject-control,Avery,Nicole,True,offered,to go,Avery,Nicole,question: Who went? context: Avery offered Nicole to go. </s>,Nicole,52.0
23,t5,subject-control,Avery,Nicole,False,offered,to go,Avery,Nicole,question: Who went? context: Avery offered Nicole to go. </s>,Nicole,53.0
24,t5,subject-control,Avery,Nicole,True,offered,to read,Avery,Nicole,question: Who read? context: Avery offered Nicole to read. </s>,Nicole,54.0
25,t5,subject-control,Avery,Nicole,False,offered,to read,Avery,Nicole,question: Who read? context: Avery offered Nicole to read. </s>,Nicole,55.0
26,t5,subject-control,Avery,Nicole,True,offered,to run,Avery,Nicole,question: Who ran? context: Avery offered Nicole to run. </s>,Nicole,56.0
27,t5,subject-control,Avery,Nicole,False,offered,to run,Avery,Nicole,question: Who ran? context: Avery offered Nicole to run. </s>,Nicole,57.0
28,t5,subject-control,Avery,Nicole,True,offered,to call,Avery,Nicole,question: Who called? context: Avery offered Nicole to call. </s>,Nicole,58.0
29,t5,subject-control,Avery,Nicole,False,offered,to call,Avery,Nicole,question: Who called? context: Avery offered Nicole to call. </s>,Nicole,59.0
30,t5,subject-control,Avery,Stephanie,True,offered,to come,Avery,Stephanie,question: Who came? context: Avery offered Stephanie to come. </s>,Stephanie,70.0
31,t5,subject-control,Avery,Stephanie,False,offered,to come,Avery,Stephanie,question: Who came? context: Avery offered Stephanie to come. </s>,Stephanie,71.0
