,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,t0,subject-control,Avery,Casey,True,promised,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to come.

Question: Who promised someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to come.\n\nQuestion: Who promised someone to come?\nAnswer: ', 'Avery promised Casey to come')",0.0
1,t0,subject-control,Avery,Casey,False,promised,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to come.

Question: Who promised someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to come.\n\nQuestion: Who promised someone to come?\nAnswer: ', 'Avery promised Casey to come')",1.0
2,t0,subject-control,Avery,Casey,True,promised,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to go.

Question: Who promised someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to go.\n\nQuestion: Who promised someone to go?\nAnswer: ', 'Avery promised Casey to go')",2.0
3,t0,subject-control,Avery,Casey,False,promised,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to go.

Question: Who promised someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to go.\n\nQuestion: Who promised someone to go?\nAnswer: ', 'Avery promised Casey to go')",3.0
4,t0,subject-control,Avery,Casey,True,promised,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to read.

Question: Who promised someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to read.\n\nQuestion: Who promised someone to read?\nAnswer: ', 'Avery promised Casey to read')",4.0
5,t0,subject-control,Avery,Casey,False,promised,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to read.

Question: Who promised someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to read.\n\nQuestion: Who promised someone to read?\nAnswer: ', 'Avery promised Casey to read')",5.0
6,t0,subject-control,Avery,Casey,True,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to run.

Question: Who promised someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to run.\n\nQuestion: Who promised someone to run?\nAnswer: ', 'Avery promised Casey to run')",6.0
7,t0,subject-control,Avery,Casey,False,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to run.

Question: Who promised someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to run.\n\nQuestion: Who promised someone to run?\nAnswer: ', 'Avery promised Casey to run')",7.0
8,t0,subject-control,Avery,Casey,True,promised,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to call.

Question: Who promised someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to call.\n\nQuestion: Who promised someone to call?\nAnswer: ', 'Avery promised Casey to call')",8.0
9,t0,subject-control,Avery,Casey,False,promised,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to call.

Question: Who promised someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to call.\n\nQuestion: Who promised someone to call?\nAnswer: ', 'Avery promised Casey to call')",9.0
10,t0,subject-control,Avery,Joseph,True,promised,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to come.

Question: Who promised someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to come.\n\nQuestion: Who promised someone to come?\nAnswer: ', 'Avery promised Joseph to come')",10.0
11,t0,subject-control,Avery,Joseph,False,promised,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to come.

Question: Who promised someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to come.\n\nQuestion: Who promised someone to come?\nAnswer: ', 'Avery promised Joseph to come')",11.0
12,t0,subject-control,Avery,Joseph,True,promised,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to go.

Question: Who promised someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to go.\n\nQuestion: Who promised someone to go?\nAnswer: ', 'Avery promised Joseph to go')",12.0
13,t0,subject-control,Avery,Joseph,False,promised,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to go.

Question: Who promised someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to go.\n\nQuestion: Who promised someone to go?\nAnswer: ', 'Avery promised Joseph to go')",13.0
14,t0,subject-control,Avery,Joseph,True,promised,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to read.

Question: Who promised someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to read.\n\nQuestion: Who promised someone to read?\nAnswer: ', 'Avery promised Joseph to read')",14.0
15,t0,subject-control,Avery,Joseph,False,promised,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to read.

Question: Who promised someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to read.\n\nQuestion: Who promised someone to read?\nAnswer: ', 'Avery promised Joseph to read')",15.0
16,t0,subject-control,Avery,Joseph,True,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to run.

Question: Who promised someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to run.\n\nQuestion: Who promised someone to run?\nAnswer: ', 'Avery promised Joseph tos')",16.0
17,t0,subject-control,Avery,Joseph,False,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to run.

Question: Who promised someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to run.\n\nQuestion: Who promised someone to run?\nAnswer: ', 'Avery promised Joseph tos')",17.0
18,t0,subject-control,Avery,Joseph,True,promised,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to call.

Question: Who promised someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to call.\n\nQuestion: Who promised someone to call?\nAnswer: ', 'Avery promised Joseph to call')",18.0
19,t0,subject-control,Avery,Joseph,False,promised,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to call.

Question: Who promised someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to call.\n\nQuestion: Who promised someone to call?\nAnswer: ', 'Avery promised Joseph to call')",19.0
20,t0,subject-control,Avery,Nicole,True,promised,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to come.

Question: Who promised someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to come.\n\nQuestion: Who promised someone to come?\nAnswer: ', 'Avery promised Nicole to come')",20.0
21,t0,subject-control,Avery,Nicole,False,promised,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to come.

Question: Who promised someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to come.\n\nQuestion: Who promised someone to come?\nAnswer: ', 'Avery promised Nicole to come')",21.0
22,t0,subject-control,Avery,Nicole,True,promised,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to go.

Question: Who promised someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to go.\n\nQuestion: Who promised someone to go?\nAnswer: ', 'Avery promised Nicole to go')",22.0
23,t0,subject-control,Avery,Nicole,False,promised,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to go.

Question: Who promised someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to go.\n\nQuestion: Who promised someone to go?\nAnswer: ', 'Avery promised Nicole to go')",23.0
24,t0,subject-control,Avery,Nicole,True,promised,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to read.

Question: Who promised someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to read.\n\nQuestion: Who promised someone to read?\nAnswer: ', 'Avery promised Nicole to read')",24.0
25,t0,subject-control,Avery,Nicole,False,promised,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to read.

Question: Who promised someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to read.\n\nQuestion: Who promised someone to read?\nAnswer: ', 'Avery promised Nicole to read')",25.0
26,t0,subject-control,Avery,Nicole,True,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to run.

Question: Who promised someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to run.\n\nQuestion: Who promised someone to run?\nAnswer: ', 'Avery promised Nicole to run')",26.0
27,t0,subject-control,Avery,Nicole,False,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to run.

Question: Who promised someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to run.\n\nQuestion: Who promised someone to run?\nAnswer: ', 'Avery promised Nicole to run')",27.0
28,t0,subject-control,Avery,Nicole,True,promised,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to call.

Question: Who promised someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to call.\n\nQuestion: Who promised someone to call?\nAnswer: ', 'Avery')",28.0
29,t0,subject-control,Avery,Nicole,False,promised,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to call.

Question: Who promised someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to call.\n\nQuestion: Who promised someone to call?\nAnswer: ', 'Avery')",29.0
30,t0,subject-control,Avery,Stephanie,True,promised,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Stephanie to come.

Question: Who promised someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to come.\n\nQuestion: Who promised someone to come?\nAnswer: ', 'Avery promised to come')",30.0
31,t0,subject-control,Avery,Stephanie,False,promised,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Stephanie to come.

Question: Who promised someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to come.\n\nQuestion: Who promised someone to come?\nAnswer: ', 'Avery promised to come')",31.0
32,t0,subject-control,Avery,Stephanie,True,promised,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Stephanie to go.

Question: Who promised someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to go.\n\nQuestion: Who promised someone to go?\nAnswer: ', 'Avery promised to go with Stephanie')",32.0
33,t0,subject-control,Avery,Stephanie,False,promised,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Stephanie to go.

Question: Who promised someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to go.\n\nQuestion: Who promised someone to go?\nAnswer: ', 'Avery promised to go with Stephanie')",33.0
34,t0,subject-control,Avery,Stephanie,True,promised,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Stephanie to read.

Question: Who promised someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to read.\n\nQuestion: Who promised someone to read?\nAnswer: ', 'Avery promised to read to Stephanie')",34.0
35,t0,subject-control,Avery,Stephanie,False,promised,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Stephanie to read.

Question: Who promised someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to read.\n\nQuestion: Who promised someone to read?\nAnswer: ', 'Avery promised to read to Stephanie')",35.0
36,t0,subject-control,Avery,Stephanie,True,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Stephanie to run.

Question: Who promised someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to run.\n\nQuestion: Who promised someone to run?\nAnswer: ', 'Avery promised to run with Stephanie')",36.0
37,t0,subject-control,Avery,Stephanie,False,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Stephanie to run.

Question: Who promised someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to run.\n\nQuestion: Who promised someone to run?\nAnswer: ', 'Avery promised to run with Stephanie')",37.0
