,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,object-control,Avery,Casey,False,told,to come,Casey,Casey,question: Who came? context: Avery told Casey to come. </s>,"('question: Who came? context: Avery told Casey to come. </s>', 'Casey')"
1,t5,object-control,Avery,Casey,False,told,to go,Casey,Casey,question: Who went? context: Avery told Casey to go. </s>,"('question: Who went? context: Avery told Casey to go. </s>', 'Casey')"
2,t5,object-control,Avery,Casey,False,told,to read,Casey,Casey,question: Who read? context: Avery told Casey to read. </s>,"('question: Who read? context: Avery told Casey to read. </s>', 'Casey')"
3,t5,object-control,Avery,Casey,False,told,to run,Casey,Casey,question: Who ran? context: Avery told Casey to run. </s>,"('question: Who ran? context: Avery told Casey to run. </s>', 'Casey')"
4,t5,object-control,Avery,Casey,False,told,to call,Casey,Casey,question: Who called? context: Avery told Casey to call. </s>,"('question: Who called? context: Avery told Casey to call. </s>', 'Casey')"
5,t5,object-control,Avery,Casey,False,ordered,to come,Casey,Casey,question: Who came? context: Avery ordered Casey to come. </s>,"('question: Who came? context: Avery ordered Casey to come. </s>', 'Casey')"
6,t5,object-control,Avery,Casey,False,ordered,to go,Casey,Casey,question: Who went? context: Avery ordered Casey to go. </s>,"('question: Who went? context: Avery ordered Casey to go. </s>', 'Casey')"
7,t5,object-control,Avery,Casey,False,ordered,to read,Casey,Casey,question: Who read? context: Avery ordered Casey to read. </s>,"('question: Who read? context: Avery ordered Casey to read. </s>', 'Casey')"
8,t5,object-control,Avery,Casey,False,ordered,to run,Casey,Casey,question: Who ran? context: Avery ordered Casey to run. </s>,"('question: Who ran? context: Avery ordered Casey to run. </s>', 'Casey')"
9,t5,object-control,Avery,Casey,False,ordered,to call,Casey,Casey,question: Who called? context: Avery ordered Casey to call. </s>,"('question: Who called? context: Avery ordered Casey to call. </s>', 'Casey')"
10,t5,object-control,Avery,Casey,False,called upon,to come,Casey,Casey,question: Who came? context: Avery called upon Casey to come. </s>,"('question: Who came? context: Avery called upon Casey to come. </s>', 'Casey')"
11,t5,object-control,Avery,Casey,False,called upon,to go,Casey,Casey,question: Who went? context: Avery called upon Casey to go. </s>,"('question: Who went? context: Avery called upon Casey to go. </s>', 'Casey')"
12,t5,object-control,Avery,Casey,False,called upon,to read,Casey,Casey,question: Who read? context: Avery called upon Casey to read. </s>,"('question: Who read? context: Avery called upon Casey to read. </s>', 'Casey')"
