,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,t5,object-control,Avery,Casey,True,told,to come,Casey,Casey,question: Who came? context: Avery told Casey to come. </s>,"('question: Who came? context: Avery told Casey to come. </s>', 'Casey')",0.0
1,t5,object-control,Avery,Casey,False,told,to come,Casey,Casey,question: Who came? context: Avery told Casey to come. </s>,"('question: Who came? context: Avery told Casey to come. </s>', 'Casey')",1.0
2,t5,object-control,Avery,Casey,True,told,to go,Casey,Casey,question: Who went? context: Avery told Casey to go. </s>,"('question: Who went? context: Avery told Casey to go. </s>', 'Casey')",2.0
3,t5,object-control,Avery,Casey,False,told,to go,Casey,Casey,question: Who went? context: Avery told Casey to go. </s>,"('question: Who went? context: Avery told Casey to go. </s>', 'Casey')",3.0
4,t5,object-control,Avery,Casey,True,told,to read,Casey,Casey,question: Who read? context: Avery told Casey to read. </s>,"('question: Who read? context: Avery told Casey to read. </s>', 'Casey')",4.0
5,t5,object-control,Avery,Casey,False,told,to read,Casey,Casey,question: Who read? context: Avery told Casey to read. </s>,"('question: Who read? context: Avery told Casey to read. </s>', 'Casey')",5.0
6,t5,object-control,Avery,Casey,True,told,to run,Casey,Casey,question: Who ran? context: Avery told Casey to run. </s>,"('question: Who ran? context: Avery told Casey to run. </s>', 'Casey')",6.0
7,t5,object-control,Avery,Casey,False,told,to run,Casey,Casey,question: Who ran? context: Avery told Casey to run. </s>,"('question: Who ran? context: Avery told Casey to run. </s>', 'Casey')",7.0
8,t5,object-control,Avery,Casey,True,told,to call,Casey,Casey,question: Who called? context: Avery told Casey to call. </s>,"('question: Who called? context: Avery told Casey to call. </s>', 'Casey')",8.0
9,t5,object-control,Avery,Casey,False,told,to call,Casey,Casey,question: Who called? context: Avery told Casey to call. </s>,"('question: Who called? context: Avery told Casey to call. </s>', 'Casey')",9.0
10,t5,object-control,Avery,Casey,True,ordered,to come,Casey,Casey,question: Who came? context: Avery ordered Casey to come. </s>,"('question: Who came? context: Avery ordered Casey to come. </s>', 'Casey')",10.0
11,t5,object-control,Avery,Casey,False,ordered,to come,Casey,Casey,question: Who came? context: Avery ordered Casey to come. </s>,"('question: Who came? context: Avery ordered Casey to come. </s>', 'Casey')",11.0
12,t5,object-control,Avery,Casey,True,ordered,to go,Casey,Casey,question: Who went? context: Avery ordered Casey to go. </s>,"('question: Who went? context: Avery ordered Casey to go. </s>', 'Casey')",12.0
13,t5,object-control,Avery,Casey,False,ordered,to go,Casey,Casey,question: Who went? context: Avery ordered Casey to go. </s>,"('question: Who went? context: Avery ordered Casey to go. </s>', 'Casey')",13.0
14,t5,object-control,Avery,Casey,True,ordered,to read,Casey,Casey,question: Who read? context: Avery ordered Casey to read. </s>,"('question: Who read? context: Avery ordered Casey to read. </s>', 'Casey')",14.0
15,t5,object-control,Avery,Casey,False,ordered,to read,Casey,Casey,question: Who read? context: Avery ordered Casey to read. </s>,"('question: Who read? context: Avery ordered Casey to read. </s>', 'Casey')",15.0
16,t5,object-control,Avery,Casey,True,ordered,to run,Casey,Casey,question: Who ran? context: Avery ordered Casey to run. </s>,"('question: Who ran? context: Avery ordered Casey to run. </s>', 'Casey')",16.0
17,t5,object-control,Avery,Casey,False,ordered,to run,Casey,Casey,question: Who ran? context: Avery ordered Casey to run. </s>,"('question: Who ran? context: Avery ordered Casey to run. </s>', 'Casey')",17.0
18,t5,object-control,Avery,Casey,True,ordered,to call,Casey,Casey,question: Who called? context: Avery ordered Casey to call. </s>,"('question: Who called? context: Avery ordered Casey to call. </s>', 'Casey')",18.0
19,t5,object-control,Avery,Casey,False,ordered,to call,Casey,Casey,question: Who called? context: Avery ordered Casey to call. </s>,"('question: Who called? context: Avery ordered Casey to call. </s>', 'Casey')",19.0
20,t5,object-control,Avery,Casey,True,called upon,to come,Casey,Casey,question: Who came? context: Avery called upon Casey to come. </s>,"('question: Who came? context: Avery called upon Casey to come. </s>', 'Casey')",20.0
21,t5,object-control,Avery,Casey,False,called upon,to come,Casey,Casey,question: Who came? context: Avery called upon Casey to come. </s>,"('question: Who came? context: Avery called upon Casey to come. </s>', 'Casey')",21.0
22,t5,object-control,Avery,Casey,True,called upon,to go,Casey,Casey,question: Who went? context: Avery called upon Casey to go. </s>,"('question: Who went? context: Avery called upon Casey to go. </s>', 'Casey')",22.0
23,t5,object-control,Avery,Casey,False,called upon,to go,Casey,Casey,question: Who went? context: Avery called upon Casey to go. </s>,"('question: Who went? context: Avery called upon Casey to go. </s>', 'Casey')",23.0
24,t5,object-control,Avery,Casey,True,called upon,to read,Casey,Casey,question: Who read? context: Avery called upon Casey to read. </s>,"('question: Who read? context: Avery called upon Casey to read. </s>', 'Casey')",24.0
25,t5,object-control,Avery,Casey,False,called upon,to read,Casey,Casey,question: Who read? context: Avery called upon Casey to read. </s>,"('question: Who read? context: Avery called upon Casey to read. </s>', 'Casey')",25.0
26,t5,object-control,Avery,Casey,True,called upon,to run,Casey,Casey,question: Who ran? context: Avery called upon Casey to run. </s>,"('question: Who ran? context: Avery called upon Casey to run. </s>', 'Casey')",26.0
27,t5,object-control,Avery,Casey,False,called upon,to run,Casey,Casey,question: Who ran? context: Avery called upon Casey to run. </s>,"('question: Who ran? context: Avery called upon Casey to run. </s>', 'Casey')",27.0
28,t5,object-control,Avery,Casey,True,called upon,to call,Casey,Casey,question: Who called? context: Avery called upon Casey to call. </s>,"('question: Who called? context: Avery called upon Casey to call. </s>', 'Casey')",28.0
29,t5,object-control,Avery,Casey,False,called upon,to call,Casey,Casey,question: Who called? context: Avery called upon Casey to call. </s>,"('question: Who called? context: Avery called upon Casey to call. </s>', 'Casey')",29.0
30,t5,object-control,Avery,Casey,True,reminded,to come,Casey,Casey,question: Who came? context: Avery reminded Casey to come. </s>,"('question: Who came? context: Avery reminded Casey to come. </s>', 'Casey')",30.0
31,t5,object-control,Avery,Casey,False,reminded,to come,Casey,Casey,question: Who came? context: Avery reminded Casey to come. </s>,"('question: Who came? context: Avery reminded Casey to come. </s>', 'Casey')",31.0
32,t5,object-control,Avery,Casey,True,reminded,to go,Casey,Casey,question: Who went? context: Avery reminded Casey to go. </s>,"('question: Who went? context: Avery reminded Casey to go. </s>', 'Casey')",32.0
33,t5,object-control,Avery,Casey,False,reminded,to go,Casey,Casey,question: Who went? context: Avery reminded Casey to go. </s>,"('question: Who went? context: Avery reminded Casey to go. </s>', 'Casey')",33.0
34,t5,object-control,Avery,Casey,True,reminded,to read,Casey,Casey,question: Who read? context: Avery reminded Casey to read. </s>,"('question: Who read? context: Avery reminded Casey to read. </s>', 'Casey')",34.0
35,t5,object-control,Avery,Casey,False,reminded,to read,Casey,Casey,question: Who read? context: Avery reminded Casey to read. </s>,"('question: Who read? context: Avery reminded Casey to read. </s>', 'Casey')",35.0
36,t5,object-control,Avery,Casey,True,reminded,to run,Casey,Casey,question: Who ran? context: Avery reminded Casey to run. </s>,"('question: Who ran? context: Avery reminded Casey to run. </s>', 'Casey')",36.0
37,t5,object-control,Avery,Casey,False,reminded,to run,Casey,Casey,question: Who ran? context: Avery reminded Casey to run. </s>,"('question: Who ran? context: Avery reminded Casey to run. </s>', 'Casey')",37.0
38,t5,object-control,Avery,Casey,True,reminded,to call,Casey,Casey,question: Who called? context: Avery reminded Casey to call. </s>,"('question: Who called? context: Avery reminded Casey to call. </s>', 'Casey')",38.0
39,t5,object-control,Avery,Casey,False,reminded,to call,Casey,Casey,question: Who called? context: Avery reminded Casey to call. </s>,"('question: Who called? context: Avery reminded Casey to call. </s>', 'Casey')",39.0
40,t5,object-control,Avery,Casey,True,urged,to come,Casey,Casey,question: Who came? context: Avery urged Casey to come. </s>,"('question: Who came? context: Avery urged Casey to come. </s>', 'Casey')",40.0
41,t5,object-control,Avery,Casey,False,urged,to come,Casey,Casey,question: Who came? context: Avery urged Casey to come. </s>,"('question: Who came? context: Avery urged Casey to come. </s>', 'Casey')",41.0
42,t5,object-control,Avery,Casey,True,urged,to go,Casey,Casey,question: Who went? context: Avery urged Casey to go. </s>,"('question: Who went? context: Avery urged Casey to go. </s>', 'Casey')",42.0
43,t5,object-control,Avery,Casey,False,urged,to go,Casey,Casey,question: Who went? context: Avery urged Casey to go. </s>,"('question: Who went? context: Avery urged Casey to go. </s>', 'Casey')",43.0
