,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_j,object-control,Avery,Casey,True,told,to come,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to come.

Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer:  Casey.\n\nContext:  Avery told Casey to come.\nQuestion:  Who came?\nAnswer:  Casey.\n\nContext:  Avery told Casey to come.\nQuestion:  Who came?\nAnswer:  Casey.\n\nContext:  Avery told Casey to come.\nQuestion:  Who came?\n')",0.0
1,gpt_j,object-control,Avery,Casey,False,told,to come,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to come.

Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer:  Casey.\n\nContext:  Avery told Casey to come.\nQuestion:  Who came?\nAnswer:  Casey.\n\nContext:  Avery told Casey to come.\nQuestion:  Who came?\nAnswer:  Casey.\n\nContext:  Avery told Casey to come.\nQuestion:  Who came?\n')",1.0
2,gpt_j,object-control,Avery,Casey,True,told,to go,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to go.

Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion:  Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion:  Who went?\nAnswer:  Casey.\n\nContext:  Avery told Casey to go.\nQuestion:  Who went?\nAnswer:  Casey.\n\nContext:  Avery told Casey to go.\nQuestion:  Who went?\nAnswer:  Casey.\n\nContext:  Avery told Casey to go.\nQuestion:  Who went?\n')",2.0
3,gpt_j,object-control,Avery,Casey,False,told,to go,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to go.

Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion:  Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion:  Who went?\nAnswer:  Casey.\n\nContext:  Avery told Casey to go.\nQuestion:  Who went?\nAnswer:  Casey.\n\nContext:  Avery told Casey to go.\nQuestion:  Who went?\nAnswer:  Casey.\n\nContext:  Avery told Casey to go.\nQuestion:  Who went?\n')",3.0
4,gpt_j,object-control,Avery,Casey,True,told,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to read.

Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion:  Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion:  Who read?\nAnswer:  Casey.\n\nContext: Casey told Avery to read.\nQuestion:  Who read?\nAnswer:  Avery.\n\nContext: Avery told Casey to read.\nQuestion:  Who read?\nAnswer:  Casey.\n\nContext: Casey told Avery to read.\nQuestion:  Who read?\nAnswer: ')",4.0
5,gpt_j,object-control,Avery,Casey,False,told,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to read.

Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion:  Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion:  Who read?\nAnswer:  Casey.\n\nContext: Casey told Avery to read.\nQuestion:  Who read?\nAnswer:  Avery.\n\nContext: Avery told Casey to read.\nQuestion:  Who read?\nAnswer:  Casey.\n\nContext: Casey told Avery to read.\nQuestion:  Who read?\nAnswer: ')",5.0
6,gpt_j,object-control,Avery,Casey,True,told,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to run.

Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer:  Casey.\n\nContext: Casey told Avery to run.\n\nQuestion:  Who ran?\nAnswer:  Casey.\n\nContext: Casey told Avery to run.\n\nQuestion:  Who ran?\nAnswer:  Casey.\n\nContext: Casey told Avery to run.\n\nQuestion:  Who ran?\n')",6.0
7,gpt_j,object-control,Avery,Casey,False,told,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to run.

Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer:  Casey.\n\nContext: Casey told Avery to run.\n\nQuestion:  Who ran?\nAnswer:  Casey.\n\nContext: Casey told Avery to run.\n\nQuestion:  Who ran?\nAnswer:  Casey.\n\nContext: Casey told Avery to run.\n\nQuestion:  Who ran?\n')",7.0
8,gpt_j,object-control,Avery,Casey,True,told,to call,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to call.

Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer:  Casey.\n\nContext: Casey called Avery.\n\nQuestion:  Who called Casey?\nAnswer:  Avery.\n\nContext: Avery called Casey.\n\nQuestion:  Who called Avery?\nAnswer:  Casey.\n\nContext: Casey called Avery.\n\nQuestion:  Who called Casey?\nAnswer: ')",8.0
9,gpt_j,object-control,Avery,Casey,False,told,to call,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to call.

Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer:  Casey.\n\nContext: Casey called Avery.\n\nQuestion:  Who called Casey?\nAnswer:  Avery.\n\nContext: Avery called Casey.\n\nQuestion:  Who called Avery?\nAnswer:  Casey.\n\nContext: Casey called Avery.\n\nQuestion:  Who called Casey?\nAnswer: ')",9.0
