,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,object-control,Avery,Casey,True,told,to come,Casey,Casey,question: Who was told to come? context: Avery told Casey to come. </s>,"('question: Who was told to come? context: Avery told Casey to come. </s>', 'Casey')"
1,t5,object-control,Avery,Casey,False,told,to come,Casey,Casey,question: Who was told to come? context: Avery told Casey to come. </s>,"('question: Who was told to come? context: Avery told Casey to come. </s>', 'Casey')"
2,t5,object-control,Avery,Casey,True,told,to go,Casey,Casey,question: Who was told to go? context: Avery told Casey to go. </s>,"('question: Who was told to go? context: Avery told Casey to go. </s>', 'Casey')"
3,t5,object-control,Avery,Casey,False,told,to go,Casey,Casey,question: Who was told to go? context: Avery told Casey to go. </s>,"('question: Who was told to go? context: Avery told Casey to go. </s>', 'Casey')"
4,t5,object-control,Avery,Casey,True,told,to read,Casey,Casey,question: Who was told to read? context: Avery told Casey to read. </s>,"('question: Who was told to read? context: Avery told Casey to read. </s>', 'Casey')"
5,t5,object-control,Avery,Casey,False,told,to read,Casey,Casey,question: Who was told to read? context: Avery told Casey to read. </s>,"('question: Who was told to read? context: Avery told Casey to read. </s>', 'Casey')"
6,t5,object-control,Avery,Casey,True,told,to run,Casey,Casey,question: Who was told to run? context: Avery told Casey to run. </s>,"('question: Who was told to run? context: Avery told Casey to run. </s>', 'Casey')"
7,t5,object-control,Avery,Casey,False,told,to run,Casey,Casey,question: Who was told to run? context: Avery told Casey to run. </s>,"('question: Who was told to run? context: Avery told Casey to run. </s>', 'Casey')"
8,t5,object-control,Avery,Casey,True,told,to call,Casey,Casey,question: Who was told to call? context: Avery told Casey to call. </s>,"('question: Who was told to call? context: Avery told Casey to call. </s>', 'Casey')"
9,t5,object-control,Avery,Casey,False,told,to call,Casey,Casey,question: Who was told to call? context: Avery told Casey to call. </s>,"('question: Who was told to call? context: Avery told Casey to call. </s>', 'Casey')"
10,t5,object-control,Avery,Casey,True,ordered,to come,Casey,Casey,question: Who was ordered to come? context: Avery ordered Casey to come. </s>,"('question: Who was ordered to come? context: Avery ordered Casey to come. </s>', 'Casey')"
11,t5,object-control,Avery,Casey,False,ordered,to come,Casey,Casey,question: Who was ordered to come? context: Avery ordered Casey to come. </s>,"('question: Who was ordered to come? context: Avery ordered Casey to come. </s>', 'Casey')"
12,t5,object-control,Avery,Casey,True,ordered,to go,Casey,Casey,question: Who was ordered to go? context: Avery ordered Casey to go. </s>,"('question: Who was ordered to go? context: Avery ordered Casey to go. </s>', 'Casey')"
13,t5,object-control,Avery,Casey,False,ordered,to go,Casey,Casey,question: Who was ordered to go? context: Avery ordered Casey to go. </s>,"('question: Who was ordered to go? context: Avery ordered Casey to go. </s>', 'Casey')"
14,t5,object-control,Avery,Casey,True,ordered,to read,Casey,Casey,question: Who was ordered to read? context: Avery ordered Casey to read. </s>,"('question: Who was ordered to read? context: Avery ordered Casey to read. </s>', 'Casey')"
15,t5,object-control,Avery,Casey,False,ordered,to read,Casey,Casey,question: Who was ordered to read? context: Avery ordered Casey to read. </s>,"('question: Who was ordered to read? context: Avery ordered Casey to read. </s>', 'Casey')"
16,t5,object-control,Avery,Casey,True,ordered,to run,Casey,Casey,question: Who was ordered to run? context: Avery ordered Casey to run. </s>,"('question: Who was ordered to run? context: Avery ordered Casey to run. </s>', 'Casey')"
17,t5,object-control,Avery,Casey,False,ordered,to run,Casey,Casey,question: Who was ordered to run? context: Avery ordered Casey to run. </s>,"('question: Who was ordered to run? context: Avery ordered Casey to run. </s>', 'Casey')"
18,t5,object-control,Avery,Casey,True,ordered,to call,Casey,Casey,question: Who was ordered to call? context: Avery ordered Casey to call. </s>,"('question: Who was ordered to call? context: Avery ordered Casey to call. </s>', 'Casey')"
19,t5,object-control,Avery,Casey,False,ordered,to call,Casey,Casey,question: Who was ordered to call? context: Avery ordered Casey to call. </s>,"('question: Who was ordered to call? context: Avery ordered Casey to call. </s>', 'Casey')"
20,t5,object-control,Avery,Casey,True,called upon,to come,Casey,Casey,question: Who was called upon to come? context: Avery called upon Casey to come. </s>,"('question: Who was called upon to come? context: Avery called upon Casey to come. </s>', 'Casey')"
21,t5,object-control,Avery,Casey,False,called upon,to come,Casey,Casey,question: Who was called upon to come? context: Avery called upon Casey to come. </s>,"('question: Who was called upon to come? context: Avery called upon Casey to come. </s>', 'Casey')"
22,t5,object-control,Avery,Casey,True,called upon,to go,Casey,Casey,question: Who was called upon to go? context: Avery called upon Casey to go. </s>,"('question: Who was called upon to go? context: Avery called upon Casey to go. </s>', 'Casey')"
23,t5,object-control,Avery,Casey,False,called upon,to go,Casey,Casey,question: Who was called upon to go? context: Avery called upon Casey to go. </s>,"('question: Who was called upon to go? context: Avery called upon Casey to go. </s>', 'Casey')"
24,t5,object-control,Avery,Casey,True,called upon,to read,Casey,Avery,question: Who was called upon to read? context: Avery called upon Casey to read. </s>,"('question: Who was called upon to read? context: Avery called upon Casey to read. </s>', 'Avery')"
25,t5,object-control,Avery,Casey,False,called upon,to read,Casey,Avery,question: Who was called upon to read? context: Avery called upon Casey to read. </s>,"('question: Who was called upon to read? context: Avery called upon Casey to read. </s>', 'Avery')"
26,t5,object-control,Avery,Casey,True,called upon,to run,Casey,Casey,question: Who was called upon to run? context: Avery called upon Casey to run. </s>,"('question: Who was called upon to run? context: Avery called upon Casey to run. </s>', 'Casey')"
27,t5,object-control,Avery,Casey,False,called upon,to run,Casey,Casey,question: Who was called upon to run? context: Avery called upon Casey to run. </s>,"('question: Who was called upon to run? context: Avery called upon Casey to run. </s>', 'Casey')"
28,t5,object-control,Avery,Casey,True,called upon,to call,Casey,Casey,question: Who was called upon to call? context: Avery called upon Casey to call. </s>,"('question: Who was called upon to call? context: Avery called upon Casey to call. </s>', 'Casey')"
29,t5,object-control,Avery,Casey,False,called upon,to call,Casey,Casey,question: Who was called upon to call? context: Avery called upon Casey to call. </s>,"('question: Who was called upon to call? context: Avery called upon Casey to call. </s>', 'Casey')"
30,t5,object-control,Avery,Casey,True,reminded,to come,Casey,Casey,question: Who was reminded to come? context: Avery reminded Casey to come. </s>,"('question: Who was reminded to come? context: Avery reminded Casey to come. </s>', 'Casey')"
31,t5,object-control,Avery,Casey,False,reminded,to come,Casey,Casey,question: Who was reminded to come? context: Avery reminded Casey to come. </s>,"('question: Who was reminded to come? context: Avery reminded Casey to come. </s>', 'Casey')"
32,t5,object-control,Avery,Casey,True,reminded,to go,Casey,Casey,question: Who was reminded to go? context: Avery reminded Casey to go. </s>,"('question: Who was reminded to go? context: Avery reminded Casey to go. </s>', 'Casey')"
33,t5,object-control,Avery,Casey,False,reminded,to go,Casey,Casey,question: Who was reminded to go? context: Avery reminded Casey to go. </s>,"('question: Who was reminded to go? context: Avery reminded Casey to go. </s>', 'Casey')"
34,t5,object-control,Avery,Casey,True,reminded,to read,Casey,Casey,question: Who was reminded to read? context: Avery reminded Casey to read. </s>,"('question: Who was reminded to read? context: Avery reminded Casey to read. </s>', 'Casey')"
35,t5,object-control,Avery,Casey,False,reminded,to read,Casey,Casey,question: Who was reminded to read? context: Avery reminded Casey to read. </s>,"('question: Who was reminded to read? context: Avery reminded Casey to read. </s>', 'Casey')"
36,t5,object-control,Avery,Casey,True,reminded,to run,Casey,Casey,question: Who was reminded to run? context: Avery reminded Casey to run. </s>,"('question: Who was reminded to run? context: Avery reminded Casey to run. </s>', 'Casey')"
37,t5,object-control,Avery,Casey,False,reminded,to run,Casey,Casey,question: Who was reminded to run? context: Avery reminded Casey to run. </s>,"('question: Who was reminded to run? context: Avery reminded Casey to run. </s>', 'Casey')"
38,t5,object-control,Avery,Casey,True,reminded,to call,Casey,Casey,question: Who was reminded to call? context: Avery reminded Casey to call. </s>,"('question: Who was reminded to call? context: Avery reminded Casey to call. </s>', 'Casey')"
39,t5,object-control,Avery,Casey,False,reminded,to call,Casey,Casey,question: Who was reminded to call? context: Avery reminded Casey to call. </s>,"('question: Who was reminded to call? context: Avery reminded Casey to call. </s>', 'Casey')"
40,t5,object-control,Avery,Casey,True,urged,to come,Casey,Casey,question: Who was urged to come? context: Avery urged Casey to come. </s>,"('question: Who was urged to come? context: Avery urged Casey to come. </s>', 'Casey')"
41,t5,object-control,Avery,Casey,False,urged,to come,Casey,Casey,question: Who was urged to come? context: Avery urged Casey to come. </s>,"('question: Who was urged to come? context: Avery urged Casey to come. </s>', 'Casey')"
42,t5,object-control,Avery,Casey,True,urged,to go,Casey,Casey,question: Who was urged to go? context: Avery urged Casey to go. </s>,"('question: Who was urged to go? context: Avery urged Casey to go. </s>', 'Casey')"
43,t5,object-control,Avery,Casey,False,urged,to go,Casey,Casey,question: Who was urged to go? context: Avery urged Casey to go. </s>,"('question: Who was urged to go? context: Avery urged Casey to go. </s>', 'Casey')"
44,t5,object-control,Avery,Casey,True,urged,to read,Casey,Casey,question: Who was urged to read? context: Avery urged Casey to read. </s>,"('question: Who was urged to read? context: Avery urged Casey to read. </s>', 'Casey')"
45,t5,object-control,Avery,Casey,False,urged,to read,Casey,Casey,question: Who was urged to read? context: Avery urged Casey to read. </s>,"('question: Who was urged to read? context: Avery urged Casey to read. </s>', 'Casey')"
46,t5,object-control,Avery,Casey,True,urged,to run,Casey,Casey,question: Who was urged to run? context: Avery urged Casey to run. </s>,"('question: Who was urged to run? context: Avery urged Casey to run. </s>', 'Casey')"
47,t5,object-control,Avery,Casey,False,urged,to run,Casey,Casey,question: Who was urged to run? context: Avery urged Casey to run. </s>,"('question: Who was urged to run? context: Avery urged Casey to run. </s>', 'Casey')"
48,t5,object-control,Avery,Casey,True,urged,to call,Casey,Casey,question: Who was urged to call? context: Avery urged Casey to call. </s>,"('question: Who was urged to call? context: Avery urged Casey to call. </s>', 'Casey')"
49,t5,object-control,Avery,Casey,False,urged,to call,Casey,Casey,question: Who was urged to call? context: Avery urged Casey to call. </s>,"('question: Who was urged to call? context: Avery urged Casey to call. </s>', 'Casey')"
50,t5,object-control,Avery,Casey,True,asked,to come,Casey,Casey,question: Who was asked to come? context: Avery asked Casey to come. </s>,"('question: Who was asked to come? context: Avery asked Casey to come. </s>', 'Casey')"
51,t5,object-control,Avery,Casey,False,asked,to come,Casey,Casey,question: Who was asked to come? context: Avery asked Casey to come. </s>,"('question: Who was asked to come? context: Avery asked Casey to come. </s>', 'Casey')"
52,t5,object-control,Avery,Casey,True,asked,to go,Casey,Casey,question: Who was asked to go? context: Avery asked Casey to go. </s>,"('question: Who was asked to go? context: Avery asked Casey to go. </s>', 'Casey')"
53,t5,object-control,Avery,Casey,False,asked,to go,Casey,Casey,question: Who was asked to go? context: Avery asked Casey to go. </s>,"('question: Who was asked to go? context: Avery asked Casey to go. </s>', 'Casey')"
54,t5,object-control,Avery,Casey,True,asked,to read,Casey,Avery,question: Who was asked to read? context: Avery asked Casey to read. </s>,"('question: Who was asked to read? context: Avery asked Casey to read. </s>', 'Avery')"
55,t5,object-control,Avery,Casey,False,asked,to read,Casey,Avery,question: Who was asked to read? context: Avery asked Casey to read. </s>,"('question: Who was asked to read? context: Avery asked Casey to read. </s>', 'Avery')"
56,t5,object-control,Avery,Casey,True,asked,to run,Casey,Casey,question: Who was asked to run? context: Avery asked Casey to run. </s>,"('question: Who was asked to run? context: Avery asked Casey to run. </s>', 'Casey')"
57,t5,object-control,Avery,Casey,False,asked,to run,Casey,Casey,question: Who was asked to run? context: Avery asked Casey to run. </s>,"('question: Who was asked to run? context: Avery asked Casey to run. </s>', 'Casey')"
58,t5,object-control,Avery,Casey,True,asked,to call,Casey,Casey,question: Who was asked to call? context: Avery asked Casey to call. </s>,"('question: Who was asked to call? context: Avery asked Casey to call. </s>', 'Casey')"
59,t5,object-control,Avery,Casey,False,asked,to call,Casey,Casey,question: Who was asked to call? context: Avery asked Casey to call. </s>,"('question: Who was asked to call? context: Avery asked Casey to call. </s>', 'Casey')"
60,t5,object-control,Avery,Casey,True,persuaded,to come,Casey,Casey,question: Who was persuaded to come? context: Avery persuaded Casey to come. </s>,"('question: Who was persuaded to come? context: Avery persuaded Casey to come. </s>', 'Casey')"
61,t5,object-control,Avery,Casey,False,persuaded,to come,Casey,Casey,question: Who was persuaded to come? context: Avery persuaded Casey to come. </s>,"('question: Who was persuaded to come? context: Avery persuaded Casey to come. </s>', 'Casey')"
62,t5,object-control,Avery,Casey,True,persuaded,to go,Casey,Casey,question: Who was persuaded to go? context: Avery persuaded Casey to go. </s>,"('question: Who was persuaded to go? context: Avery persuaded Casey to go. </s>', 'Casey')"
63,t5,object-control,Avery,Casey,False,persuaded,to go,Casey,Casey,question: Who was persuaded to go? context: Avery persuaded Casey to go. </s>,"('question: Who was persuaded to go? context: Avery persuaded Casey to go. </s>', 'Casey')"
64,t5,object-control,Avery,Casey,True,persuaded,to read,Casey,Avery,question: Who was persuaded to read? context: Avery persuaded Casey to read. </s>,"('question: Who was persuaded to read? context: Avery persuaded Casey to read. </s>', 'Avery')"
65,t5,object-control,Avery,Casey,False,persuaded,to read,Casey,Avery,question: Who was persuaded to read? context: Avery persuaded Casey to read. </s>,"('question: Who was persuaded to read? context: Avery persuaded Casey to read. </s>', 'Avery')"
66,t5,object-control,Avery,Casey,True,persuaded,to run,Casey,Casey,question: Who was persuaded to run? context: Avery persuaded Casey to run. </s>,"('question: Who was persuaded to run? context: Avery persuaded Casey to run. </s>', 'Casey')"
67,t5,object-control,Avery,Casey,False,persuaded,to run,Casey,Casey,question: Who was persuaded to run? context: Avery persuaded Casey to run. </s>,"('question: Who was persuaded to run? context: Avery persuaded Casey to run. </s>', 'Casey')"
68,t5,object-control,Avery,Casey,True,persuaded,to call,Casey,Casey,question: Who was persuaded to call? context: Avery persuaded Casey to call. </s>,"('question: Who was persuaded to call? context: Avery persuaded Casey to call. </s>', 'Casey')"
69,t5,object-control,Avery,Casey,False,persuaded,to call,Casey,Casey,question: Who was persuaded to call? context: Avery persuaded Casey to call. </s>,"('question: Who was persuaded to call? context: Avery persuaded Casey to call. </s>', 'Casey')"
70,t5,object-control,Avery,Casey,True,convinced,to come,Casey,Casey,question: Who was convinced to come? context: Avery convinced Casey to come. </s>,"('question: Who was convinced to come? context: Avery convinced Casey to come. </s>', 'Casey')"
71,t5,object-control,Avery,Casey,False,convinced,to come,Casey,Casey,question: Who was convinced to come? context: Avery convinced Casey to come. </s>,"('question: Who was convinced to come? context: Avery convinced Casey to come. </s>', 'Casey')"
72,t5,object-control,Avery,Casey,True,convinced,to go,Casey,Casey,question: Who was convinced to go? context: Avery convinced Casey to go. </s>,"('question: Who was convinced to go? context: Avery convinced Casey to go. </s>', 'Casey')"
73,t5,object-control,Avery,Casey,False,convinced,to go,Casey,Casey,question: Who was convinced to go? context: Avery convinced Casey to go. </s>,"('question: Who was convinced to go? context: Avery convinced Casey to go. </s>', 'Casey')"
74,t5,object-control,Avery,Casey,True,convinced,to read,Casey,Avery,question: Who was convinced to read? context: Avery convinced Casey to read. </s>,"('question: Who was convinced to read? context: Avery convinced Casey to read. </s>', 'Avery')"
75,t5,object-control,Avery,Casey,False,convinced,to read,Casey,Avery,question: Who was convinced to read? context: Avery convinced Casey to read. </s>,"('question: Who was convinced to read? context: Avery convinced Casey to read. </s>', 'Avery')"
76,t5,object-control,Avery,Casey,True,convinced,to run,Casey,Casey,question: Who was convinced to run? context: Avery convinced Casey to run. </s>,"('question: Who was convinced to run? context: Avery convinced Casey to run. </s>', 'Casey')"
77,t5,object-control,Avery,Casey,False,convinced,to run,Casey,Casey,question: Who was convinced to run? context: Avery convinced Casey to run. </s>,"('question: Who was convinced to run? context: Avery convinced Casey to run. </s>', 'Casey')"
78,t5,object-control,Avery,Casey,True,convinced,to call,Casey,Casey,question: Who was convinced to call? context: Avery convinced Casey to call. </s>,"('question: Who was convinced to call? context: Avery convinced Casey to call. </s>', 'Casey')"
79,t5,object-control,Avery,Casey,False,convinced,to call,Casey,Casey,question: Who was convinced to call? context: Avery convinced Casey to call. </s>,"('question: Who was convinced to call? context: Avery convinced Casey to call. </s>', 'Casey')"
80,t5,object-control,Avery,Casey,True,forced,to come,Casey,Casey,question: Who was forced to come? context: Avery forced Casey to come. </s>,"('question: Who was forced to come? context: Avery forced Casey to come. </s>', 'Casey')"
81,t5,object-control,Avery,Casey,False,forced,to come,Casey,Casey,question: Who was forced to come? context: Avery forced Casey to come. </s>,"('question: Who was forced to come? context: Avery forced Casey to come. </s>', 'Casey')"
