,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_j,object-control,Avery,Casey,True,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who was told to come??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who was told to come??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who was told to come??\nAnswer:  Avery.\n\nContext: Casey told Avery to come.\n\nQuestion: Who was told to come??\nAnswer:  Casey.\n\nContext: Casey told Avery to come.\n\nQuestion: Who was told to come??\nAnswer:  Casey.\n\nContext: Casey told Avery to come.\n\nQuestion')"
1,gpt_j,object-control,Avery,Casey,False,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who was told to come??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who was told to come??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who was told to come??\nAnswer:  Avery.\n\nContext: Casey told Avery to come.\n\nQuestion: Who was told to come??\nAnswer:  Casey.\n\nContext: Casey told Avery to come.\n\nQuestion: Who was told to come??\nAnswer:  Casey.\n\nContext: Casey told Avery to come.\n\nQuestion')"
2,gpt_j,object-control,Avery,Casey,True,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who was told to go??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who was told to go??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who was told to go??\nAnswer:  Avery.\n\nContext: Casey told Avery to go.\n\nQuestion: Who was told to go??\nAnswer:  Casey.\n\nContext: Casey told Avery to go.\n\nQuestion: Who was told to go??\nAnswer:  Casey.\n\nContext: Casey told Avery to go.\n\nQuestion')"
3,gpt_j,object-control,Avery,Casey,False,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who was told to go??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who was told to go??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who was told to go??\nAnswer:  Avery.\n\nContext: Casey told Avery to go.\n\nQuestion: Who was told to go??\nAnswer:  Casey.\n\nContext: Casey told Avery to go.\n\nQuestion: Who was told to go??\nAnswer:  Casey.\n\nContext: Casey told Avery to go.\n\nQuestion')"
4,gpt_j,object-control,Avery,Casey,True,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who was told to read??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who was told to read??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who was told to read??\nAnswer: \n\nAvery told Casey to read.\n\nA:\n\nThe answer is:\n\nAvery told Casey to read.\n\nThe reason is that the sentence is a direct quote from the context.\n\nA:\n\nThe answer is:\n\nAvery told Casey to read.\n\nThe reason')"
5,gpt_j,object-control,Avery,Casey,False,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who was told to read??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who was told to read??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who was told to read??\nAnswer: \n\nAvery told Casey to read.\n\nA:\n\nThe answer is:\n\nAvery told Casey to read.\n\nThe reason is that the sentence is a direct quote from the context.\n\nA:\n\nThe answer is:\n\nAvery told Casey to read.\n\nThe reason')"
6,gpt_j,object-control,Avery,Casey,True,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who was told to run??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who was told to run??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who was told to run??\nAnswer: \n\nAvery\nCasey\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery told Casey to run"" and the question is ""Who was told to run?""\n\n')"
7,gpt_j,object-control,Avery,Casey,False,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who was told to run??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who was told to run??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who was told to run??\nAnswer: \n\nAvery\nCasey\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery told Casey to run"" and the question is ""Who was told to run?""\n\n')"
8,gpt_j,object-control,Avery,Casey,True,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who was told to call??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who was told to call??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who was told to call??\nAnswer: \n\nAvery\nCasey\n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery told Casey to call.""\n The question is ""Who was told to call?""\n The answer is ""Avery""\n\nA:\n\nThe answer is:\n\n Avery\n')"
9,gpt_j,object-control,Avery,Casey,False,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who was told to call??
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who was told to call??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who was told to call??\nAnswer: \n\nAvery\nCasey\n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery told Casey to call.""\n The question is ""Who was told to call?""\n The answer is ""Avery""\n\nA:\n\nThe answer is:\n\n Avery\n')"
10,gpt_j,object-control,Avery,Casey,True,ordered,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery ordered Casey to come.

Question: Who was ordered to come??
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to come.\n\nQuestion: Who was ordered to come??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery ordered Casey to come.\n\nQuestion: Who was ordered to come??\nAnswer:  Avery\n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery ordered Casey to come.""\n\nThe question is:\n\n Who was ordered to come?\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The question is ""Who was ordered to come?""\n\n')"
11,gpt_j,object-control,Avery,Casey,False,ordered,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery ordered Casey to come.

Question: Who was ordered to come??
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to come.\n\nQuestion: Who was ordered to come??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery ordered Casey to come.\n\nQuestion: Who was ordered to come??\nAnswer:  Avery\n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery ordered Casey to come.""\n\nThe question is:\n\n Who was ordered to come?\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The question is ""Who was ordered to come?""\n\n')"
12,gpt_j,object-control,Avery,Casey,True,ordered,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery ordered Casey to go.

Question: Who was ordered to go??
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to go.\n\nQuestion: Who was ordered to go??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery ordered Casey to go.\n\nQuestion: Who was ordered to go??\nAnswer:  Avery.\n\nA:\n\nThe answer is:\n\nAvery\n\nThe reason is:\n\nAvery ordered Casey to go.\n\nCasey is the subject of the sentence.\n\nA:\n\nThe answer is:\n\nAvery\n\nThe reason is:\n\nAvery ordered')"
13,gpt_j,object-control,Avery,Casey,False,ordered,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery ordered Casey to go.

Question: Who was ordered to go??
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to go.\n\nQuestion: Who was ordered to go??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery ordered Casey to go.\n\nQuestion: Who was ordered to go??\nAnswer:  Avery.\n\nA:\n\nThe answer is:\n\nAvery\n\nThe reason is:\n\nAvery ordered Casey to go.\n\nCasey is the subject of the sentence.\n\nA:\n\nThe answer is:\n\nAvery\n\nThe reason is:\n\nAvery ordered')"
14,gpt_j,object-control,Avery,Casey,True,ordered,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery ordered Casey to read.

Question: Who was ordered to read??
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to read.\n\nQuestion: Who was ordered to read??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery ordered Casey to read.\n\nQuestion: Who was ordered to read??\nAnswer: \n\nAvery\nCasey\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n Avery is the only one who is ordered to read.\n\n')"
15,gpt_j,object-control,Avery,Casey,False,ordered,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery ordered Casey to read.

Question: Who was ordered to read??
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to read.\n\nQuestion: Who was ordered to read??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery ordered Casey to read.\n\nQuestion: Who was ordered to read??\nAnswer: \n\nAvery\nCasey\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n Avery is the only one who is ordered to read.\n\n')"
