,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who was told to come?
Answer: Avery
Question: Who told someone to come?
Answer: Casey
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come?\nAnswer: Avery\nQuestion: Who told someone to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come?\nAnswer: Avery\nQuestion: Who told someone to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer:  Avery\nQuestion: Who told Avery to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer:  Avery\nQuestion: Who told Avery to come?\nAnswer: Casey\nQuestion: Who')"
1,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who was told to come?
Answer: Avery
Question: Who told someone to come?
Answer: Casey
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come?\nAnswer: Avery\nQuestion: Who told someone to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come?\nAnswer: Avery\nQuestion: Who told someone to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer:  Avery\nQuestion: Who told Avery to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer:  Avery\nQuestion: Who told Avery to come?\nAnswer: Casey\nQuestion: Who')"
2,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who told someone to go?
Answer: Casey
Question: Who was told to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: Casey\nQuestion: Who was told to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: Casey\nQuestion: Who was told to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: \n\nA:\n\nThe answer is:\n\nCasey\n\nThe context is:\n\nAvery was told by Casey to go.\n\nThe question is:\n\nWho told Avery')"
3,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who was told to go?
Answer: Avery
Question: Who told someone to go?
Answer: Casey
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go?\nAnswer: Avery\nQuestion: Who told someone to go?\nAnswer: Casey\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go?\nAnswer: Avery\nQuestion: Who told someone to go?\nAnswer: Casey\nQuestion: Who went?\nAnswer:  Avery\nQuestion: Who told Avery to go?\nAnswer:  Casey\nQuestion: Who told Casey to go?\nAnswer:  Avery\nQuestion: Who told Casey to go?\nAnswer: ')"
4,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who was told to read?
Answer: Avery
Question: Who told someone to read?
Answer: Casey
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read?\nAnswer: Avery\nQuestion: Who told someone to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read?\nAnswer: Avery\nQuestion: Who told someone to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: \n\nA:\n\nThe answer is:\n\nCasey\n\nThe context is:\n\nAvery was told by Casey to read.\n\nThe question is:\n\nWho was told')"
5,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who told someone to read?
Answer: Casey
Question: Who was told to read?
Answer: Avery
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: Casey\nQuestion: Who was told to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: Casey\nQuestion: Who was told to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: \n\nA:\n\nThe answer is:\n\nCasey\n\nThe context is:\n\nAvery was told by Casey to read.\n\nThe question is:\n\nWho told Avery')"
6,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who was told to run?
Answer: Avery
Question: Who told someone to run?
Answer: Casey
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run?\nAnswer: Avery\nQuestion: Who told someone to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run?\nAnswer: Avery\nQuestion: Who told someone to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer:  Avery\nQuestion: Who told Avery to run?\nAnswer:  Casey\nQuestion: Who ran?\nAnswer:  Avery\nQuestion: Who told Avery to run?\nAnswer:  Casey\nQuestion')"
7,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who was told to run?
Answer: Avery
Question: Who told someone to run?
Answer: Casey
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run?\nAnswer: Avery\nQuestion: Who told someone to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run?\nAnswer: Avery\nQuestion: Who told someone to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer:  Avery\nQuestion: Who told Avery to run?\nAnswer:  Casey\nQuestion: Who ran?\nAnswer:  Avery\nQuestion: Who told Avery to run?\nAnswer:  Casey\nQuestion')"
8,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who told someone to call?
Answer: Casey
Question: Who was told to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: Casey\nQuestion: Who was told to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: Casey\nQuestion: Who was told to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: \n\nA:\n\nThe answer is:\n\nCasey\n\nThe context is:\n\nAvery was told by Casey to call.\n\nThe question is:\n\nWho told Avery')"
9,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who told someone to call?
Answer: Casey
Question: Who was told to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: Casey\nQuestion: Who was told to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: Casey\nQuestion: Who was told to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: \n\nA:\n\nThe answer is:\n\nCasey\n\nThe context is:\n\nAvery was told by Casey to call.\n\nThe question is:\n\nWho told Avery')"
