,model,exp_type,prompt,pred,true,response
0,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""We had no choice but to stay but will take this as far as we can .""
Question: In the event ""had"", does the participant ""We"" act with volition?
Answer: No
Sentence: ""In an apparently unrelated incidents , some eleven Iraqis were killed by snipers on Tuesday , including a group of police trainees in a bus near Hilla and two police in Kirkuk .""
Question: In the event ""killed"", does the participant ""Iraqis"" act with volition?
Answer: ",No,No,No
1,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""In short , China has the American economy by the throat .""
Question: In the event ""has"", does the participant ""China"" act with volition?
Answer: Yes
Sentence: ""One resident of New Orleans said escaping from the storm was "" hell "" .""
Question: In the event ""said"", does the participant ""resident"" act with volition?
Answer: ",No,Yes,No
2,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""And he earned 112 points in 1971 - 1972 .""
Question: In the event ""earned"", does the participant ""he"" act with volition?
Answer: Yes
Sentence: ""Sufaat was arrested in December 2001 upon his return to Malaysia .""
Question: In the event ""arrested"", does the participant ""Sufaat"" act with volition?
Answer: ",No,No,No
3,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""I told Paul that you called him yesterday so abruptly because you did n't want to waste his time while you got tests done for arthritis .""
Question: In the event ""told"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""All you want is for "" them "" to get on with it - and to leave you alone ..""
Question: In the event ""is"", does the participant ""All"" act with volition?
Answer: ",No,No,No
4,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""you speak the language and will have more fun .""
Question: In the event ""speak"", does the participant ""you"" act with volition?
Answer: Yes
Sentence: ""I like shrimp , fried , grilled , or steamed .""
Question: In the event ""like"", does the participant ""shrimp"" act with volition?
Answer: ",No,No,No
5,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""I know that we address audit rights in the LLC agreement so this may not matter anyway if this is a right they already have .""
Question: In the event ""address"", does the participant ""rights"" act with volition?
Answer: No
Sentence: """" We applaud China 's space achievements , "" NASA spokesman Allard Beutel said Tuesday .""
Question: In the event ""said"", does the participant ""Beutel"" act with volition?
Answer: ",No,Yes,No
6,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""He said Mr Dar , 33 , was arrested in Indian - administered Kashmir and belonged to the outlawed Lashkar - e - Toiba militant group .""
Question: In the event ""arrested"", does the participant ""Dar"" act with volition?
Answer: No
Sentence: ""India 's Andaman and Nicobar Islands comprise more than 500 islands lying 1,000 kilometers east of Sri Lanka in the Bay of Bengal .""
Question: In the event ""comprise"", does the participant ""Islands"" act with volition?
Answer: ",No,No,No
7,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""I took the original piece of metal and rigged it to make due since I had to complete the job .""
Question: In the event ""complete"", does the participant ""job"" act with volition?
Answer: No
Sentence: ""The plants provide shade and root strength for bank stability .""
Question: In the event ""provide"", does the participant ""plants"" act with volition?
Answer: ",No,No,No
8,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""Last June , an international initiative led by Japan to persuade the LTTE to come back to the negotiating table failed despite an aid package offer of US$ 4.5 billion .""
Question: In the event ""failed"", does the participant ""initiative"" act with volition?
Answer: No
Sentence: ""Husbands marry mothers and teen daughters at the same time .""
Question: In the event ""marry"", does the participant ""Husbands"" act with volition?
Answer: ",No,Yes,No
9,t0,volition_prefix_1,"Answer this yes-no question about the following sentence.
Sentence: ""They both went to jail and a new manager was put in charge of the apartments .""
Question: In the event ""went"", does the participant ""They"" act with volition?
Answer: No
Sentence: ""It has two parts , both of which are timed for 90 seconds each and the differential between the resulting two scores determines the likelihood of having a learning disability or attention deficit disorder .""
Question: In the event ""timed"", does the participant ""both"" act with volition?
Answer: ",No,No,No
